Probe	ADCADN	ATRX	AUTS18	BAFopathy	BFLS	CdLS	CHARGE	Control	Down	Dup7	EEOC	FLHS	GTPTS	HMA	HVDAS_C	HVDAS_T	ICF1	ICF2_3_4	Kabuki	KDVS	Kleefstra	MRD51	MRX93	MRX97	MRXSCJ	MRXSN	MRXSSR	RMNS	RSTS	SBBYSS	SETD1B	Sotos	TBRS	WDSTS	Williams
cg08532057	0.48085328	0.25439689	0.19308727	0.28036726	0.18674772	0.24623914	0.28640365	0.29884266	0.30385764	0.30240726	0.26538315	0.37310711	0.24951013	0.56096842	0.28307505	0.29091085	0.15596058	0.31191846	0.34997521	0.1143719	0.29162621	0.33671935	0.28176588	0.25922108	0.14581735	0.19059762	0.27239078	0.18383023	0.30623292	0.32153902	0.24610684	0.08446036	0.26126353	0.29843176	0.37789608
cg00186701	0.5533164	0.2557281	0.3574964	0.3482559	0.3130742	0.3279065	0.3886738	0.3471105	0.3705351	0.3028184	0.3145301	0.3789779	0.2950936	0.3378575	0.3379506	0.28774	0.228895	0.3825243	0.3541794	0.3385096	0.3038441	0.3094582	0.312434	0.3746972	0.2086163	0.3280623	0.3809318	0.1388646	0.3363082	0.3369822	0.2990767	0.3132297	0.3010825	0.3405369	0.5062218
cg20604286	0.3289511	0.3313999	0.2726529	0.2981507	0.2545635	0.2917304	0.3397782	0.3019324	0.2666833	0.3270879	0.3086248	0.3384056	0.2845803	0.4040819	0.3185469	0.3617132	0.2744089	0.2657364	0.2750868	0.2835784	0.2529146	0.266851	0.3307178	0.2511175	0.14341	0.3375649	0.2880141	0.2093079	0.2858979	0.2899251	0.3108119	0.2304201	0.2209616	0.3118188	0.3448796
cg05142677	0.9711836	0.8828975	0.8933648	0.9119254	0.8576636	0.9096529	0.9491739	0.8995255	0.9312068	0.948499	0.8688165	0.6577942	0.8978164	0.8900629	0.8552792	0.877813	0.9021092	0.9225841	0.8803364	0.8677295	0.9252663	0.854295	0.8708909	0.868949	0.7160691	0.9278874	0.8475926	0.7626521	0.8821193	0.9383255	0.9434876	0.9364629	0.8231018	0.93037	0.9584546
cg04731926	0.09410561	0.17228874	0.16924351	0.2494229	0.18877538	0.22838353	0.24693452	0.21429746	0.37473858	0.19512871	0.26031049	0.07143918	0.21126393	0.31721572	0.23980691	0.18843306	0.05697293	0.1762793	0.11944268	0.20612548	0.30247624	0.21800744	0.24332091	0.16104529	0.06652706	0.52199418	0.26470005	0.09207061	0.23235346	0.25676533	0.3183336	0.31774306	0.18791816	0.23912854	0.25538172
cg23373640	0.5525864	0.1793726	0.2228015	0.3774755	0.3717242	0.2823058	0.3008525	0.3291473	0.1977299	0.3649747	0.3799396	0.3276433	0.1955809	0.3449642	0.4528045	0.1843387	0.3536537	0.3122198	0.2996406	0.1036641	0.3525888	0.390224	0.3048468	0.3130325	0.1483209	0.1698821	0.2049848	0.1961431	0.3697978	0.2366679	0.2780551	0.1309257	0.1129669	0.2792367	0.3636706
cg04134015	0.786025	0.6867496	0.612326	0.7129735	0.6694777	0.7042643	0.725976	0.7012611	0.6792595	0.7175208	0.6982478	0.7431259	0.6514425	0.6861451	0.6898047	0.7114258	0.7003028	0.5968423	0.7135011	0.7432033	0.6813868	0.6769952	0.6637179	0.6884912	0.5380735	0.7510756	0.6988663	0.5369495	0.7150807	0.7021101	0.7048029	0.5855852	0.6195944	0.7090331	0.7167643
cg20208600	0.30401214	0.41587629	0.21616459	0.25303528	0.19365113	0.22106764	0.26079337	0.24961709	0.1894157	0.37055313	0.20384567	0.25886569	0.23936239	0.37736811	0.13980201	0.27944133	0.17477562	0.23613134	0.25059805	0.21916183	0.28093902	0.23741219	0.23062898	0.19872468	0.09842744	0.25093143	0.24574653	0.11876196	0.21166994	0.22015947	0.20757419	0.11945937	0.16323148	0.23789002	0.44572281
cg20922821	0.807766	0.6439296	0.6246572	0.7105335	0.696504	0.7027812	0.7347953	0.6853678	0.6592237	0.6720825	0.716529	0.707289	0.6958567	0.7612373	0.6407939	0.5942652	0.6074906	0.6165198	0.7221818	0.5692724	0.6805575	0.5320541	0.6782548	0.7239062	0.4881357	0.6908166	0.6155366	0.5433417	0.7069979	0.6514278	0.6529987	0.4774321	0.6439154	0.6152164	0.7657155
cg09645336	0.5443593	0.3396156	0.2937515	0.3527347	0.3180254	0.3517862	0.3986653	0.3845643	0.3483104	0.3664453	0.340004	0.4342478	0.3762453	0.3968043	0.4126255	0.3851412	0.3856364	0.3435701	0.3643165	0.3896039	0.359731	0.3610569	0.4000981	0.3545371	0.2533315	0.5627362	0.3111088	0.2711717	0.3404361	0.3587186	0.4342327	0.3306469	0.3168621	0.357066	0.4851228
cg26703182	0.7873122	0.7866208	0.7761565	0.824217	0.7839465	0.7950401	0.92077	0.8449327	0.8633521	0.8898435	0.8845582	0.7215923	0.8485644	0.9059635	0.955409	0.6718068	0.8817846	0.8854338	0.8303953	0.7900944	0.8648343	0.8041847	0.8207952	0.7677674	0.649005	0.9328133	0.7934716	0.7674162	0.8354691	0.8773478	0.8624961	0.803303	0.737911	0.8560822	0.9492397
cg14560040	0.3057155	0.2708429	0.2460858	0.26158	0.2500679	0.2396294	0.2606456	0.2514707	0.2284039	0.2568057	0.2177759	0.1621973	0.248626	0.3122131	0.1902987	0.2321793	0.2543335	0.2479081	0.2621214	0.2527316	0.2530176	0.2650434	0.2817061	0.2563123	0.1463253	0.3032813	0.2638703	0.173834	0.2471039	0.2853103	0.2428248	0.246625	0.2157967	0.2571904	0.3046675
cg10593047	0.6356194	0.3446684	0.2914867	0.3435173	0.3714063	0.3520843	0.393992	0.3751712	0.3490068	0.3529796	0.4077605	0.2581595	0.2360621	0.4009149	0.2824447	0.3105983	0.4452687	0.3526471	0.3837747	0.3297492	0.369852	0.4008887	0.3934725	0.3724738	0.2412709	0.4044025	0.3901252	0.2055105	0.3322578	0.3576548	0.3580559	0.28723	0.2569048	0.3432331	0.4250225
cg11304734	0.3555759	0.2007087	0.2129581	0.2237316	0.1560207	0.2036388	0.2331914	0.2325618	0.2488225	0.2236665	0.2296346	0.1958583	0.1984212	0.3194172	0.2254872	0.2242161	0.1977957	0.2289645	0.2457718	0.1563854	0.2275006	0.2511818	0.2439369	0.2561562	0.1244476	0.199252	0.2285467	0.1232101	0.2029178	0.2456934	0.2246456	0.1221428	0.1714995	0.2393029	0.2594977
cg01610915	0.7580441	0.6788764	0.6127399	0.6852492	0.651801	0.6866512	0.7246788	0.6967847	0.6588181	0.7530515	0.6201956	0.6469842	0.7120432	0.7362478	0.6819879	0.685012	0.7158244	0.6979026	0.6771575	0.6960498	0.6611657	0.6862679	0.6734365	0.6410122	0.5433905	0.6491327	0.6846885	0.5398098	0.6632382	0.6457571	0.6991494	0.671863	0.634213	0.649748	0.7598134
cg07371589	NA	0.7318157	0.7445529	0.771399	0.6442853	0.7362145	0.7073527	0.7878336	0.8727753	0.8025632	0.6704826	0.6779359	0.7187469	0.7903404	0.8133819	0.7541986	0.7473254	0.8037467	0.7995037	0.850519	0.7803701	0.7970743	0.7153432	0.6482246	0.554121	0.6404151	0.6694185	0.5193507	0.8052993	0.8159715	0.8386632	0.4293762	0.5801343	0.7064298	0.8422782
cg09399371	0.4392909	0.2633169	0.2907292	0.3368934	0.267145	0.2928944	0.3204922	0.3046051	0.3257656	0.3488987	0.2889692	0.240539	0.2210053	0.3833476	0.298315	0.2788608	0.2308061	0.3598832	0.2996355	0.323409	0.2805539	0.3028169	0.298012	0.2749366	0.1845997	0.4614369	0.3168066	0.1693526	0.2697223	0.2526201	0.3978839	0.26884	0.2594549	0.2889714	0.3354966
cg11344626	0.3560522	0.2671004	0.2617682	0.2634136	0.1377468	0.23757	0.2686551	0.2652822	0.3213437	0.2493306	0.2650998	0.2363533	0.2265158	0.3770127	0.1917406	0.1951656	0.1413545	0.2765353	0.2565504	0.1567989	0.2588807	0.2689741	0.2440501	0.254117	0.1480763	0.3917222	0.2814147	0.1188021	0.2537132	0.2489485	0.264544	0.2002057	0.2277312	0.3156452	0.3273866
cg07914621	0.5374146	0.4129355	0.3890097	0.4510224	0.4046296	0.4325639	0.5012761	0.4463001	0.48665	0.4946418	0.439638	0.4237549	0.4409183	0.482209	0.363063	0.4742326	0.4359445	0.4954725	0.4537933	0.4203449	0.3929399	0.4346104	0.3928433	0.4119361	0.3279912	0.4023614	0.3944303	0.2938528	0.4452275	0.4735634	0.4116361	0.2806196	0.2898468	0.4782337	0.3736252
cg23431721	0.32136962	0.20988845	0.30079678	0.31704517	0.2902202	0.35817493	0.30879056	0.25874858	0.22751962	0.31528955	0.29329215	0.08890525	0.25385535	0.45498715	0.27973504	0.3357844	0.17835632	0.23901485	0.29190208	0.40921936	0.32016739	0.27111651	0.31687372	0.23714397	0.12904405	0.46502466	0.29859554	0.19162032	0.32841594	0.28423052	0.32558142	0.1991197	0.24471609	0.32791544	0.30967651
cg17351974	0.47891715	0.26256113	0.24562097	0.34305421	0.24406554	0.26764684	0.26160365	0.31568322	0.25985944	0.36059388	0.29737541	0.36056224	0.2187832	0.4214096	0.23302699	0.25932984	0.30270559	0.24365033	0.32143941	0.4298605	0.29862866	0.29174743	0.36654346	0.28104348	0.1758796	0.37924945	0.22327794	0.19306126	0.25096831	0.27802907	0.28022952	0.08676673	0.18647651	0.28183702	0.26776998
cg24338780	0.28349159	0.15886587	0.16687354	0.16456376	0.15177833	0.17179457	0.17235634	0.18736605	0.16343444	0.17523748	0.15085066	0.19189877	0.14007904	0.23735897	0.15897812	0.14450347	0.20722577	0.17681799	0.19411219	0.18221398	0.19137069	0.20781971	0.20065427	0.1937771	0.09442628	0.22285522	0.17367169	0.11798913	0.14700985	0.17358772	0.16273535	0.09707031	0.14765422	0.14959323	0.2327236
cg11367159	0.6109855	0.3323487	0.4390026	0.4816253	0.3639382	0.4050896	0.4212719	0.4391605	0.4370257	0.4573134	0.4528261	0.5944049	0.4797666	0.7249522	0.4768902	0.3932307	0.3997721	0.4886701	0.4730633	0.5138198	0.3810304	0.4256001	0.4343236	0.3220917	0.6147203	0.4685462	0.3456803	0.4677168	0.4521859	0.4774188	0.5119466	0.1299552	0.3475749	0.3979049	0.4632058
cg18364502	NA	0.3044167	0.2324724	0.3041871	0.2701064	0.3120896	0.3253995	0.3320169	0.2914592	0.3460063	0.3122664	0.3565015	0.2958767	0.3568687	0.2768845	0.3550016	0.3618671	0.3257342	0.3271225	0.34736	0.3169208	0.3160086	0.327587	0.3264615	0.1852977	0.4108998	0.2992979	0.2077962	0.3054982	0.3054432	0.3135664	0.2651978	0.2689784	0.2875516	0.3767765
cg12303084	0.2948914	0.2073335	0.1946896	0.2003909	0.22222	0.1589511	0.1707877	0.2039571	0.1741526	0.195546	0.1756274	0.1175932	0.1206384	0.1757286	0.157358	0.2062503	0.1904607	0.1826646	0.1977193	0.1909701	0.1689227	0.2236139	0.2525251	0.2149409	0.1009865	0.2100503	0.1991494	0.1398491	0.1919629	0.1671306	0.25182	0.2385234	0.1519294	0.1671741	0.2395665
cg02145668	0.3461872	0.1938556	0.2119276	0.2121891	0.1206978	0.2332822	0.2534378	0.2374794	0.1903748	0.2275391	0.2102015	0.1906616	0.2211501	0.3132876	0.1876474	0.2464788	0.2532735	0.2518003	0.2650966	0.2225075	0.2047325	0.2522421	0.2601517	0.2134875	0.1373584	0.2614292	0.2298765	0.139503	0.2245719	0.2444338	0.2494427	0.1402836	0.163269	0.2297028	0.2503175
cg24795825	NA	0.4617397	0.3996731	0.4271365	0.274364	0.4062504	0.4615738	0.5044303	0.602549	0.5954283	0.4486065	0.3828305	0.3534154	0.5379552	0.3258015	0.336478	0.4552317	0.512406	0.4309687	0.4346072	0.4073664	0.4443373	0.3683558	0.4984538	0.2989954	0.6150991	0.3957309	0.1293523	0.4369403	0.3977366	0.4518813	0.1299595	0.20058	0.4002747	0.4177864
cg13182599	0.3375236	0.2243622	0.1567714	0.2642487	0.1813707	0.1938307	0.2734226	0.2375875	0.2453498	0.2130024	0.2062057	0.2285574	0.1848267	0.2445365	0.2039864	0.2546199	0.2679642	0.2682714	0.2314351	0.2058164	0.2262274	0.2242354	0.2487722	0.232871	0.1540837	0.2230809	0.2447225	0.1691867	0.2154789	0.2470604	0.1906547	0.2294997	0.1922766	0.2168296	0.2303577
cg12217291	0.4876761	0.5494619	0.4970998	0.5761714	0.5032875	0.5773068	0.6095626	0.5914966	0.5851226	0.5694316	0.5965888	0.4889585	0.5916887	0.6566073	0.5749734	0.631974	0.6263738	0.5418893	0.573259	0.5782874	0.5810366	0.5786724	0.5897027	0.601888	0.478944	0.6672801	0.6078712	0.464323	0.5499482	0.5648843	0.6296495	0.5095331	0.5378054	0.5709698	0.6183186
cg01119278	0.6268464	0.5724825	0.4654193	0.6321417	0.4986428	0.579565	0.6598456	0.5976686	0.5803745	0.6506604	0.5719189	0.676649	0.6113656	0.7136935	0.6205524	0.5012896	0.6382492	0.5162796	0.6412871	0.5088908	0.5863708	0.6263064	0.6006628	0.4834003	0.401932	0.6128778	0.4324581	0.4859757	0.5876489	0.5873927	0.5254741	0.2009416	0.3969609	0.5702225	0.663279
cg05881762	0.51102037	0.20687621	0.160029	0.20501808	0.19966206	0.16703352	0.22890091	0.22316333	0.15225512	0.2418595	0.17335025	0.34570408	0.14183777	0.32764377	0.21085562	0.17828934	0.2710037	0.24577008	0.21079694	0.2172612	0.21011279	0.21203912	0.22300373	0.1997082	0.10894079	0.34456322	0.19255945	0.08510049	0.21600181	0.19403058	0.1963456	0.13579095	0.15313432	0.18031433	0.2649498
cg24899750	0.7877531	0.6205422	0.5846186	0.6550467	0.649215	0.6834885	0.7157415	0.657476	0.6202793	0.6793083	0.6875043	0.6828421	0.7001245	0.7218673	0.662151	0.6817571	0.6850987	0.6644218	0.6716808	0.6416078	0.6578585	0.6030457	0.5976843	0.6411469	0.5215773	0.6673011	0.6576713	0.5999889	0.6785526	0.6863227	0.6767553	0.6108256	0.5856164	0.6612939	0.7322918
cg08075719	0.6319394	0.434392	0.4172194	0.408158	0.4153192	0.4267628	0.4416275	0.4331309	0.4157157	0.4402094	0.4231251	0.3866954	0.40915	0.5244152	0.4348339	0.3926668	0.4961106	0.4114126	0.4392523	0.4253277	0.42508	0.465829	0.4410465	0.4314177	0.3439824	0.5111089	0.4193296	0.3791617	0.4249677	0.4394007	0.5032837	0.3290392	0.3580424	0.4222806	0.4346978
cg06520846	0.3224607	0.1713146	0.2876369	0.1927838	0.1679663	0.1878635	0.1981655	0.212606	0.2339838	0.2408864	0.1929919	0.2432341	0.1692886	0.3638118	0.2374611	0.1530782	0.2207009	0.2331812	0.2319646	0.1994897	0.2100432	0.2359747	0.223139	0.1972348	0.115108	0.2379384	0.1869107	0.1140283	0.203102	0.2478012	0.1741059	0.1074225	0.1618672	0.1959606	0.2011576
cg21029612	0.10959255	0.0702797	0.03477177	0.04822435	0.04021227	0.05461803	0.03774537	0.04965458	0.0685257	0.02557374	0.05328531	0.05325685	0.04529887	0.14691925	0.06194642	0.07384802	0.05631019	0.05019282	0.05357573	0.04357016	0.0553972	0.11279533	0.13196252	0.07079604	0.16970943	0.08156513	0.08480946	0.05886958	0.05585752	0.06358671	0.06657879	0.03373891	0.05223656	0.0477881	0.03269936
cg07424440	NA	0.9569027	0.9609696	0.9482498	0.9336515	0.9541407	0.9724653	0.9610873	0.9645715	0.9611897	0.9548397	0.9499809	0.9531282	0.9451452	0.9447548	0.943007	0.8635999	0.9721918	0.9560563	0.9579452	0.9480967	0.9426019	0.9315382	0.9519294	0.8673335	0.9615605	0.9557214	0.9263424	0.9540125	0.954232	0.9445073	0.9517979	0.9449431	0.9499854	0.9691112
cg00384701	0.667658	0.3786665	0.3559484	0.3869696	0.3434588	0.3891797	0.3921828	0.4135864	0.4068052	0.3889568	0.4006449	0.4224496	0.3438319	0.4746972	0.3926365	0.353715	0.2976061	0.3850543	0.4197798	0.3605088	0.3923888	0.3996557	0.4281888	0.4072632	0.3074514	0.3949245	0.411379	0.3688079	0.3899177	0.4042012	0.3925681	0.3634118	0.3971234	0.4007246	0.4906529
cg05951817	0.8601921	0.5973688	0.594691	0.6547699	0.58094	0.5571972	0.5881058	0.6538017	0.6063724	0.6482052	0.6707092	0.6988687	0.5061301	0.7128807	0.5390783	0.5923002	0.5180968	0.7181274	0.6219309	0.6750795	0.5972084	0.6646381	0.6137167	0.6005262	0.7746737	0.5520683	0.6189629	0.5045223	0.5931642	0.6155304	0.6640444	0.3768949	0.5397917	0.6085678	0.6731705
cg03382250	0.6402662	0.4405666	0.44555	0.5378025	0.4625672	0.4996826	0.5131604	0.5444829	0.6249778	0.6176375	0.5182213	0.6515517	0.5474126	0.7598064	0.5203393	0.4834473	0.523217	0.4994096	0.5123126	0.579683	0.5575931	0.5352955	0.5050016	0.4438889	0.6604163	0.6465255	0.4653912	0.6054659	0.5228091	0.5361593	0.5926257	0.2497526	0.4397975	0.5037782	0.5224082
cg10059484	0.3472048	0.229163	0.2499057	0.2621438	0.2906026	0.2604313	0.3090322	0.2562661	0.2583947	0.2587124	0.251437	0.2485593	0.2785174	0.3261267	0.2577523	0.2209477	0.2737025	0.2901982	0.2835936	0.2589515	0.2751999	0.2535965	0.2483491	0.2428944	0.1764985	0.1995385	0.2399508	0.1611378	0.2651386	0.2714778	0.2298831	0.1972101	0.1953158	0.2549462	0.2459378
cg06301726	0.6126456	0.5423298	0.6142188	0.6070387	0.5449733	0.5928922	0.5986516	0.6006082	0.6837535	0.6000247	0.601862	0.5400543	0.6561982	0.7065108	0.5736518	0.5825304	0.288717	0.6114581	0.6005504	0.5981044	0.6463225	0.6211679	0.6235841	0.6182805	0.4979142	0.6741708	0.6194865	0.5327405	0.5753677	0.6401872	0.6057262	0.4851251	0.6061907	0.5793893	0.6896296
cg14639163	0.292626	0.1890734	0.222606	0.1349767	0.182678	0.162263	0.1275933	0.1628536	0.2317673	0.1587038	0.164805	0.2416614	0.1123746	0.1851529	0.0983834	0.3443829	0.1610025	0.2122088	0.1390729	0.1087737	0.1552397	0.2280969	0.2005798	0.1760357	0.297306	0.2545049	0.18321	0.1753779	0.1605881	0.1354579	0.2573813	0.1289369	0.1333295	0.1571605	0.1466793
cg04484916	0.9452495	0.8586035	0.8522466	0.8621803	0.8515482	0.8560784	0.8929933	0.871036	0.827814	0.8990026	0.8728625	0.8289122	0.8591455	0.8459162	0.8441951	0.8644756	0.8974288	0.900408	0.8658106	0.8627466	0.8547007	0.8411202	0.8368652	0.850222	0.798804	0.8721138	0.8483785	0.8211619	0.8502908	0.8625309	0.87117	0.8678998	0.8244086	0.8462541	0.8971471
cg06638023	0.5466421	0.3652895	0.3752281	0.396754	0.3328182	0.3655601	0.4336921	0.4029496	0.4149351	0.5008822	0.4357481	0.3041181	0.3309424	0.4517209	0.4234244	0.367451	0.328534	0.3805098	0.3592555	0.3260073	0.4139747	0.3919305	0.3623979	0.3514401	0.2829542	0.5119982	0.4332783	0.2505571	0.3662525	0.3535607	0.5227416	0.4179639	0.3518206	0.346124	0.3882274
cg24437523	0.7816893	0.5681508	0.6271726	0.6773411	0.5557477	0.6319278	0.6519414	0.6725526	0.6398401	0.7241089	0.6275578	0.7099413	0.6368624	0.7982777	0.6384337	0.6705764	0.6771372	0.6226735	0.6267657	0.7089818	0.6487262	0.6842312	0.6835879	0.5990282	0.7558974	0.7286931	0.6238075	0.6499635	0.6578605	0.6673365	0.7121642	0.2770875	0.5302565	0.6278912	0.654349
cg17627967	0.25402259	0.20679964	0.12674012	0.16068048	0.10516644	0.15769885	0.18646425	0.17444319	0.18196699	0.2198536	0.18767075	0.15312818	0.13740737	0.25375419	0.15512801	0.14100523	0.17916598	0.18329366	0.18225736	0.15391534	0.18746551	0.17806056	0.1965517	0.17173743	0.11040415	0.1841696	0.16079102	0.07010621	0.14938888	0.17344435	0.21352028	0.13550721	0.11166967	0.17411476	0.18842259
cg18984151	0.5890968	0.2398818	0.1731643	0.2273514	0.1623886	0.214016	0.2597239	0.2427674	0.2506753	0.2760813	0.2331704	0.2501289	0.1833927	0.3050291	0.192696	0.2369546	0.1647621	0.2339042	0.2478846	0.1902078	0.2482029	0.2504364	0.2407312	0.2206347	0.1709372	0.2494362	0.2393663	0.1469414	0.2036367	0.2623395	0.2301231	0.2020466	0.1765298	0.2315996	0.2763474
cg01790498	0.41935	0.3295349	0.3388015	0.3229247	0.205584	0.3433917	0.3302483	0.3380534	0.3296873	0.3586099	0.3446336	0.2777668	0.246072	0.3753515	0.272446	0.2719642	0.2568776	0.3037189	0.3371626	0.3142413	0.386739	0.3755474	0.329301	0.3434081	0.2558987	0.5599196	0.3294959	0.233935	0.3174199	0.341886	0.4191814	0.3659216	0.2937528	0.3276691	0.3125828
cg25037335	NA	0.6652761	0.784211	0.6940635	0.7715761	0.7735761	0.8050274	0.8086234	0.7722272	0.810368	0.7990743	0.8562583	0.8102982	0.8203066	0.8038698	0.6635044	0.7783615	0.5897403	0.8280533	0.7827221	0.7214973	0.7835594	0.7743612	0.7229049	0.6370469	0.6266681	0.6849745	0.6112064	0.8732754	0.7596708	0.8143298	0.5633804	0.5202803	0.6759865	0.9214349
cg24317406	0.6576742	0.5075221	0.5677517	0.5983174	0.4417107	0.5771047	0.5656257	0.575642	0.5624887	0.5186325	0.591869	0.5722121	0.4699478	0.5928842	0.5763937	0.5105514	0.411158	0.5234287	0.5768756	0.6083071	0.5732497	0.5503378	0.5306639	0.5978616	0.480802	0.6991849	0.5748378	0.4717688	0.5232945	0.5547742	0.5542293	0.5191781	0.5434658	0.5331062	0.6448635
cg16712472	0.1500117	0.1054065	0.09927505	0.10927784	0.0866193	0.10291868	0.12445527	0.11679927	0.1255904	0.11852623	0.10154466	0.09792409	0.09193183	0.17785142	0.10235531	0.09146404	0.11880776	0.08111126	0.10876956	0.08850872	0.11610882	0.13452851	0.13859975	0.11992765	0.06340519	0.10818131	0.14028714	0.06147781	0.1018091	0.10662586	0.11332836	0.08539089	0.08398339	0.10613412	0.18581146
cg00573124	0.8507134	0.6354022	0.5595428	0.6417754	0.576856	0.5808284	0.6656811	0.6617459	0.6701222	0.7399805	0.6027523	0.5629485	0.597562	0.6534913	0.5856772	0.6293057	0.647492	0.6514351	0.6029486	0.5718732	0.6276076	0.6422474	0.6257305	0.5951171	0.5572957	0.7191602	0.6400359	0.5272346	0.5855133	0.6063659	0.7050995	0.6185831	0.552367	0.5779891	0.6714919
cg12103742	0.7184599	0.556027	0.5700495	0.6220197	0.5953862	0.5848903	0.6363095	0.6392885	0.6270591	0.6625843	0.647348	0.6196112	0.5940379	0.7468487	0.6396956	0.5919726	0.548041	0.6724421	0.6531377	0.5584293	0.6331239	0.6025902	0.6143434	0.5785445	0.5432743	0.6885833	0.6132735	0.5242419	0.584509	0.5942068	0.6257566	0.4650865	0.549756	0.584278	0.7058761
cg17459219	0.3525682	0.2360077	0.1649689	0.2364676	0.1992051	0.2467299	0.2788765	0.2613476	0.2567376	0.2846044	0.2705143	0.2579079	0.2677975	0.3894694	0.2443428	0.2469548	0.2483404	0.2955691	0.2905746	0.2000654	0.2956788	0.2721905	0.2943092	0.235596	0.1950859	0.2247357	0.267869	0.1595795	0.2444881	0.2556276	0.2413634	0.1813529	0.2058759	0.2381924	0.2525455
cg25518824	0.6772176	0.4362793	0.4410799	0.4270823	0.3754053	0.4115256	0.469979	0.4627814	0.4591343	0.4711175	0.4395719	0.4060723	0.4091205	0.4782283	0.3992578	0.4485432	0.4481694	0.4609727	0.4426246	0.4414642	0.4338134	0.4841751	0.4828365	0.4537386	0.3779984	0.4685941	0.4503068	0.4006817	0.4136755	0.45211	0.4817033	0.3738229	0.3797033	0.4104133	0.5139868
cg16198723	0.8336363	0.5643034	0.5323102	0.6073518	0.5009133	0.5577376	0.6431835	0.6107133	0.6024523	0.6730219	0.6134962	0.7558004	0.6448137	0.7269355	0.6756749	0.6140101	0.6602346	0.6646982	0.5889546	0.6794179	0.6041335	0.5710698	0.6251094	0.7240953	0.6871081	0.6163588	0.5351957	0.5681634	0.5784546	0.638096	0.6277133	0.3291658	0.4353224	0.6002221	0.5979547
cg14598213	0.3831858	0.2309578	0.1989055	0.2388752	0.1868765	0.1951805	0.2130659	0.2320234	0.2371481	0.2124116	0.2023332	0.2676371	0.2240777	0.3176152	0.2127102	0.2115713	0.1848027	0.195006	0.2065457	0.2346192	0.1987344	0.2649325	0.2658294	0.208733	0.2898284	0.2553092	0.2272656	0.2224207	0.1967692	0.1975563	0.2489505	0.1565312	0.1886433	0.2043915	0.2672794
cg00249621	0.30222765	0.10337195	0.16510242	0.12267804	0.11681574	0.11968906	0.12878824	0.13308055	0.17986891	0.06861725	0.11608212	0.15447651	0.09826475	0.17154207	0.17624263	0.11099068	0.07924058	0.17223711	0.12924102	0.09405734	0.11930679	0.15944652	0.17507002	0.16668042	0.06908218	0.15765508	0.15811467	0.05594739	0.1341911	0.11849098	0.1026473	0.12420734	0.13596881	0.13556815	0.21751836
cg01736212	0.3715444	0.2332107	0.1397519	0.1825087	0.1531756	0.1598877	0.198415	0.1928195	0.1656381	0.1935056	0.2004405	0.24398	0.2016114	0.2325099	0.2008654	0.1712286	0.2035825	0.1927669	0.1907661	0.1924061	0.1970956	0.185496	0.2050638	0.2389628	0.1243359	0.2079047	0.1807571	0.1413314	0.172629	0.1680352	0.2089301	0.1283834	0.1508677	0.2093135	0.2776763
cg21111416	0.9295422	0.7867916	0.7420297	0.7926908	0.7693963	0.7845665	0.8110728	0.8026945	0.7799899	0.7839419	0.8039575	0.8196932	0.7966562	0.7677473	0.762087	0.77254	0.6816674	0.8144329	0.7789212	0.7988726	0.7903488	0.7852748	0.7767144	0.8031186	0.7431967	0.7817454	0.784853	0.6966891	0.7698513	0.8276494	0.8227021	0.7131811	0.735533	0.7822666	0.8462239
cg24230340	0.2900403	0.2431553	0.232042	0.2297883	0.2620724	0.2038835	0.2370385	0.2252885	0.2296255	0.242658	0.1952312	0.1656588	0.1867608	0.2597863	0.2027806	0.2246705	0.1983283	0.2017797	0.1975257	0.2250111	0.2273467	0.2326172	0.2081197	0.2190759	0.1436652	0.3963497	0.2763046	0.1481109	0.1957404	0.178765	0.3412079	0.2698976	0.1862763	0.1926236	0.2099173
cg20569839	0.22606726	0.15459762	0.13174173	0.1237323	0.12111909	0.12731153	0.14361798	0.14606705	0.11485526	0.14898967	0.12960698	0.15456529	0.11509715	0.1882026	0.12513086	0.13498167	0.17561697	0.16034848	0.13773283	0.11166838	0.15480076	0.15443625	0.17046647	0.14257301	0.09494064	0.13153779	0.13380396	0.09676749	0.13231199	0.13049562	0.12060571	0.10871268	0.12759048	0.13390727	0.17934737
cg14843341	0.373654	0.1938525	0.2479182	0.2234555	0.2300618	0.2238727	0.2061316	0.2330145	0.2109642	0.2475183	0.2209621	0.2377844	0.1842163	0.3136057	0.2820782	0.1530365	0.2417518	0.2101001	0.238544	0.2287341	0.2503413	0.2882262	0.2707002	0.2389427	0.1742782	0.2377507	0.2528426	0.192174	0.2528318	0.2460944	0.245255	0.1467594	0.1984534	0.2270407	0.2096504
cg25979108	0.11120937	0.09435301	0.11905167	0.08425048	0.09932242	0.10263701	0.11503275	0.12784915	0.15591119	0.13732353	0.11896596	0.0618286	0.06802329	0.09987263	0.08448724	0.06229013	0.23647209	0.10874804	0.14811539	0.04991997	0.13789747	0.13215501	0.11825954	0.11506886	0.05647948	0.15596882	0.11113243	0.04571214	0.10989992	0.11596407	0.18943951	0.11764527	0.07813016	0.12801603	0.13381755
